               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12146,            0.027376,                   0,                   0,                   0,                   0,                   0,             0.12953,            0.026061,                   0,              0.0874,              0.0014,              0.0014
                   1,             0.11077,            0.025107,                   0,                   0,                   0,                   0,                   0,             0.12437,            0.023077,                   0,            0.073881,           0.0028809,           0.0028809
                   2,             0.10851,            0.023376,                   0,                   0,                   0,                   0,                   0,             0.11891,             0.02211,                   0,            0.060342,           0.0043419,           0.0043419
                   3,             0.10428,            0.020563,                   0,                   0,                   0,                   0,                   0,             0.11983,            0.018029,                   0,            0.046783,           0.0057832,           0.0057832
                   4,            0.096644,            0.018024,                   0,           0.0011111,             0.13333,          0.00075569,          0.00010876,             0.10817,            0.016376,                   0,            0.033205,           0.0072046,           0.0072046
                   5,            0.084295,            0.016674,                   0,          0.00041667,            0.066667,           0.0002517,          7.5511e-05,             0.10543,              0.0146,                   0,            0.019606,           0.0086063,           0.0086063
                   6,            0.092858,            0.017504,                   0,          0.00083333,             0.13333,           0.0008939,           8.939e-05,            0.099734,             0.01442,                   0,            0.009604,            0.009604,            0.009604
                   7,            0.089726,            0.016412,                   0,          0.00041667,            0.066667,          0.00055625,          0.00011125,             0.10649,            0.013833,                   0,            0.009604,            0.009604,            0.009604
                   8,             0.09301,            0.013868,                   0,             0.00125,                 0.4,            0.001168,           0.0004054,            0.096877,            0.011225,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.085141,            0.014773,                   0,          0.00083333,             0.26667,           0.0010472,          0.00032016,             0.10279,            0.010301,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.084054,            0.013728,                   0,          0.00083333,             0.26667,           0.0010472,          0.00032016,             0.10279,            0.010301,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.078176,            0.013279,                   0,          0.00083333,             0.26667,          0.00062073,          0.00016614,             0.10307,            0.011264,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.086238,            0.015004,                   0,           0.0014583,             0.46667,           0.0013307,          0.00031943,            0.097467,            0.010894,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.078785,            0.014861,                   0,            0.001875,                 0.6,           0.0025819,          0.00060528,            0.093868,           0.0096671,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.079821,            0.015008,                   0,            0.000625,                 0.2,          0.00045138,          8.1912e-05,            0.094538,           0.0094133,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.080191,            0.014746,                   0,            0.001875,                 0.6,           0.0019721,          0.00048612,            0.085567,            0.010251,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.081053,            0.015277,                   0,           0.0014583,             0.46667,           0.0011167,           0.0005954,            0.087041,            0.010823,                   0,             0.00901,             0.00901,             0.00901
                  17,             0.06896,            0.014581,                   0,           0.0010417,             0.33333,          0.00082121,          0.00026127,            0.081254,            0.010822,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.069919,            0.013492,                   0,              0.0025,                 0.8,           0.0040518,           0.0013121,            0.075304,            0.010128,                   0,            0.008878,            0.008878,            0.008878
                  19,             0.06655,            0.014222,                   0,           0.0016667,             0.53333,           0.0075609,           0.0020027,            0.087786,           0.0087255,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.077101,            0.015219,                   0,           0.0029167,             0.93333,            0.015057,           0.0043856,            0.082963,           0.0087553,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.068455,             0.01387,                   0,           0.0020833,             0.66667,           0.0088386,           0.0025678,            0.085082,           0.0084528,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.066838,             0.01445,                   0,           0.0022917,             0.73333,            0.010424,           0.0025745,             0.07653,           0.0088391,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.065571,            0.012115,                   0,           0.0029167,             0.93333,            0.021406,           0.0044629,            0.070511,           0.0091259,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.060859,            0.013103,                   0,              0.0025,                 0.8,            0.017219,           0.0055308,            0.073616,           0.0091958,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.065748,            0.012661,                   0,           0.0027083,             0.86667,            0.019983,           0.0078604,            0.062072,             0.01032,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.049801,            0.015337,                   0,           0.0027083,             0.86667,            0.019983,           0.0078604,            0.062072,             0.01032,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.057691,            0.012879,                   0,           0.0029167,             0.93333,            0.013913,           0.0057044,            0.065481,            0.010312,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.055366,            0.013554,                   0,           0.0029167,             0.93333,            0.016245,           0.0063647,            0.066088,            0.010178,                   0,            0.008218,            0.008218,            0.008218
                  29,             0.05457,            0.016753,                   0,           0.0029167,             0.93333,            0.013306,            0.004944,            0.064565,            0.010332,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.057178,            0.017974,                   0,           0.0029167,             0.93333,            0.032901,            0.012379,            0.061109,            0.010144,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.052475,            0.016112,                   0,              0.0025,                 0.8,            0.025916,           0.0099535,            0.062444,            0.010323,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.043865,            0.016027,                   0,           0.0027083,             0.86667,            0.024486,            0.011291,            0.059592,            0.011505,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.047223,            0.012188,                   0,           0.0029167,             0.93333,            0.025581,            0.010042,            0.058646,             0.01172,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.048121,            0.012659,                   0,           0.0027083,             0.86667,            0.081651,            0.032029,            0.061348,             0.01093,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.050081,            0.014207,                   0,           0.0029167,             0.93333,             0.19948,            0.078172,            0.056045,           0.0095977,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.050432,            0.014559,                   0,           0.0029167,             0.93333,             0.30082,            0.093555,            0.053478,           0.0092254,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.048552,            0.016425,                   0,           0.0029167,             0.93333,             0.24646,            0.079546,            0.050602,           0.0093727,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.052627,            0.015059,                   0,            0.071964,             0.73333,              0.3196,             0.12929,             0.05165,           0.0094562,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.045042,               0.013,                   0,             0.11105,             0.46667,             0.22627,            0.099122,            0.057667,           0.0089533,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.054561,            0.016366,                   0,                   1,             0.17433,             0.43521,             0.14632,            0.044882,           0.0094154,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.046289,            0.014616,                   0,             0.67741,             0.13333,             0.28134,             0.14097,            0.060869,           0.0090789,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.051952,            0.013737,                   0,             0.67741,             0.13333,             0.28134,             0.14097,            0.060869,           0.0090789,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.054155,            0.015856,                   0,             0.76402,             0.13333,             0.28199,              0.1072,            0.064903,            0.008664,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.047144,            0.015405,                   0,                   1,             0.13195,             0.29442,             0.13275,            0.055418,           0.0090272,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.044021,            0.015316,                   0,                   1,              0.1306,             0.30042,             0.14975,            0.049361,           0.0093773,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.040636,             0.01348,                   0,             0.99289,             0.13333,             0.31621,             0.17208,            0.046929,           0.0095346,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.039687,            0.014487,                   0,             0.89134,             0.13333,             0.33909,             0.18501,            0.046032,           0.0095136,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.045451,            0.013501,                   0,             0.79567,             0.13333,              0.3362,             0.19109,            0.048063,           0.0094586,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.042748,            0.011619,                   0,                   1,             0.18001,             0.42811,             0.18413,            0.047398,            0.008861,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.042394,            0.013095,                   0,             0.74601,             0.13333,             0.40929,             0.23697,            0.042823,           0.0094295,                   0,            0.006766,            0.006766,            0.006766
                  51,             0.04198,            0.013366,                   0,              0.6836,             0.13333,             0.41453,             0.26295,            0.050015,           0.0091368,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.040761,            0.015009,                   0,             0.68363,             0.29042,             0.45167,             0.24129,            0.048346,            0.008684,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.039577,            0.012461,                   0,             0.45033,             0.27373,              0.3769,             0.20775,            0.044122,            0.008869,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.040211,            0.014466,                   0,             0.66051,             0.39016,             0.51176,             0.28041,            0.041943,           0.0084531,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.040674,             0.01283,                   0,             0.51277,             0.35206,             0.43867,             0.25719,            0.039678,           0.0088252,                   0,            0.006436,            0.006436,            0.006436
                  56,             0.04025,            0.013785,                   0,             0.68395,             0.43456,             0.58557,             0.28576,            0.048039,           0.0081855,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.040504,            0.012574,                   0,             0.51287,             0.46667,             0.47534,             0.26659,            0.041629,           0.0083723,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.039027,            0.014578,                   0,             0.51287,             0.46667,             0.47534,             0.26659,            0.041629,           0.0083723,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.041602,            0.010009,                   0,             0.48578,             0.46667,              0.4709,             0.24611,            0.046842,           0.0079458,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.047078,            0.013094,                   0,             0.55775,             0.46667,             0.55559,             0.28257,            0.048859,           0.0078475,                   0,            0.006106,            0.006106,            0.006106
